"Código","DEPARTAMENTO","Provincia","PROVINCIA_LIMPIA","%_Paredes_Ladrillo","%_Techos_Concreto","%_Pisos_Materiales","%_Pisos_Buenos","indice_aritmetico","INDICE_ALGEBRAICO","DEPARTAMENTO_FALLECIMIENTO","RATIO","Region","FUERZA POPULAR","PARTIDO POLITICO NACIONAL PERU LIBRE","ratio_keiko_castillo"
"1605","LORETO","Loreto, provincia: Requena","REQUENA",9.10669077757685,0.520795660036166,86.6835443037975,13.3164556962025,7.64798071127185,-1.34686779288071,"LORETO",1.913043478,"LORETO",0.6429,0.3571,1.80033604032484
"1606","LORETO","Loreto, provincia: Ucayali","UCAYALI",5.55515422957451,0.556237809723326,85.1116087553276,14.8883912446724,6.99992776132341,-1.45205974142953,"LORETO",1.746835443,"LORETO",0.4243,0.5757,0.737015806843842
"1607","LORETO","Loreto, provincia: Datem del Marañón","DATEM DEL MARANON",5.70006009099493,0.626663232895527,85.8013563396,14.1986436604,6.8417889947635,-1.45591940397404,"LORETO",24.75,"LORETO",0.3276,0.6724,0.48720999405116
"1608","LORETO","Loreto, provincia: Putumayo","PUTUMAYO",3.62154821186057,0.0905387052965143,76.7315527387958,23.2684472612042,8.99351139278708,-1.39078936095028,NA,NA,"LORETO",0.6592,0.3408,1.93427230046948
"1701","MADRE DE DIOS","Madre de Dios prov. de Tambopata","TAMBOPATA",44.7128702987347,14.8219321670119,68.3296313858594,31.6703686141406,30.4017236932957,1.15601183500245,"MADRE DE DIOS",1.608695652,"MADRE DE DIOS",0.2933,0.7067,0.415027593038064
"1702","MADRE DE DIOS","Madre de Dios prov. de Manu","MANU",28.3882289416847,6.29049676025918,71.5172786177106,28.4827213822894,21.0538156947444,0.0023496229199719,"MADRE DE DIOS",1.181818182,"MADRE DE DIOS",0.2091,0.7909,0.264382349222405
"1703","MADRE DE DIOS","Madre de Dios prov. de Tahuamanu","TAHUAMANU",22.051624388073,2.26969292389853,62.3052959501558,37.6947040498442,20.6720071206053,-0.282761753163333,"MADRE DE DIOS",3.142857143,"MADRE DE DIOS",0.3549,0.6451,0.550147263990079
"1801","MOQUEGUA","Moquegua, provincia: Mariscal Nieto","MARISCAL NIETO",34.9737021525275,30.6077724749196,55.2157397487095,44.7842602512905,36.7885782929126,1.88468573635153,"MOQUEGUA",2.208226221,"MOQUEGUA",0.2142,0.7858,0.27258844489692
"1802","MOQUEGUA","Moquegua, provincia: General Sánchez Cerro","GENERAL SANCHEZ CERRO",10.5942710560068,5.33561351004703,52.3642582300128,47.6357417699872,21.1885421120137,-0.368930103498689,"MOQUEGUA",1.607142857,"MOQUEGUA",0.1537,0.8463,0.181614084839891
"1803","MOQUEGUA","Moquegua, provincia: Ilo","ILO",61.5555555555556,52.2155887230514,54.1923714759536,45.8076285240464,53.1929242675511,4.10000572597788,"MOQUEGUA",1.732851986,"MOQUEGUA",0.3538,0.6462,0.547508511296812
"1901","PASCO","Pasco, provincia: Pasco","PASCO",35.2668947649467,7.07632062970947,56.0449340426794,43.9550659573206,28.7660937839923,0.608484237928536,"PASCO",1.737341772,"PASCO",0.244,0.756,0.322751322751323
"1902","PASCO","Pasco, provincia: Daniel Alcides Carrión","DANIEL ALCIDES CARRION",6.24651810584958,2.47910863509749,71.0445682451253,28.9554317548746,12.5603528319406,-1.05079652939282,"PASCO",1.051724138,"PASCO",0.1426,0.8574,0.166316771635176
"1903","PASCO","Pasco, provincia: Oxapampa","OXAPAMPA",21.9253134348425,5.76115088568451,73.7386978588955,26.2613021411045,17.9825888205438,-0.318928979697747,"PASCO",1.47029703,"PASCO",0.5736,0.4264,1.34521575984991
"2001","PIURA","Piura, provincia: Piura","PIURA",47.7930661222119,22.7795354240279,68.9071156071653,31.0928843928347,33.8884953130248,1.69403346713855,"PIURA",2.053850156,"PIURA",0.6424,0.3576,1.79642058165548
"2002","PIURA","Piura, provincia: Ayabaca","AYABACA",2.60621006613608,0.955610357583231,84.9512386503755,15.0487613496245,6.20352725778127,-1.54143715445429,"PIURA",1.021148036,"PIURA",0.2674,0.7326,0.365001365001365
"2003","PIURA","Piura, provincia: Huancabamba","HUANCABAMBA",2.38217344479204,0.915431560592851,79.7476793681727,20.2523206318273,7.84997521240405,-1.45216755061042,"PIURA",1.255813953,"PIURA",0.3105,0.6895,0.45032632342277
"2004","PIURA","Piura, provincia: Morropón","MORROPON",26.0904947916667,6.30967881944444,78.4107349537037,21.5892650462963,17.9964795524691,-0.218088278429624,"PIURA",1.639215686,"PIURA",0.5751,0.4249,1.35349493998588
"2005","PIURA","Piura, provincia: Paita","PAITA",47.1189613972852,14.9286822851231,73.9216121006085,26.0783878993915,29.3753438605999,1.14725329538279,"PIURA",2.126027397,"PIURA",0.5819,0.4181,1.39177230327673
"2006","PIURA","Piura, provincia: Sullana","SULLANA",44.2568196502294,17.1983310884063,75.0889757657391,24.9110242342609,28.7887249909655,1.13675577028629,"PIURA",1.745708837,"PIURA",0.7168,0.2832,2.53107344632768
"2007","PIURA","Piura, provincia: Talara","TALARA",57.5343107405499,28.9568598060799,67.052320951801,32.947679048199,39.8129498649429,2.44024545968897,"PIURA",1.984615385,"PIURA",0.5629,0.4371,1.2878059940517
"2008","PIURA","Piura, provincia: Sechura","SECHURA",48.6285817264372,20.7857271580465,61.949900883042,38.050099116958,35.8214693338139,1.75244543457399,"PIURA",1.709677419,"PIURA",0.6069,0.3931,1.54388196387688
"2101","PUNO","Puno, provincia: Puno","PUNO",28.5437071780016,23.8865130822642,58.2471145445349,41.7528854554651,31.3943685719103,1.21450105071253,"PUNO",1.388181818,"PUNO",0.1483,0.8517,0.174122343548198
"2102","PUNO","Puno, provincia: Azángaro","AZANGARO",6.75694112831707,5.3158469199809,63.2495395320281,36.7504604679719,16.2744161720899,-0.727806937557994,"PUNO",1.345114345,"PUNO",0.0456,0.9544,0.0477787091366303
"2103","PUNO","Puno, provincia: Carabaya","CARABAYA",3.86994949494949,3.16287878787879,74.8358585858586,25.1641414141414,10.7323232323232,-1.17869152405878,"PUNO",1.349056604,"PUNO",0.1036,0.8964,0.115573404730031
"2104","PUNO","Puno, provincia: Chucuito","CHUCUITO",11.3530659505322,6.75657267402261,69.4630937785821,30.5369062214179,16.2155149486576,-0.591743402275645,"PUNO",4.788235294,"PUNO",0.0631,0.9369,0.0673497705197994
"2105","PUNO","Puno, provincia: El Collao","EL COLLAO",15.7802591967889,8.92883831159126,53.9338557123642,46.0661442876358,23.5917472653387,-0.00439920022512816,"PUNO",1.649038462,"PUNO",0.0528,0.9472,0.0557432432432433
"2106","PUNO","Puno, provincia: Huancané","HUANCANE",3.67103385653133,2.52172785056428,59.5900895057725,40.4099104942275,15.5342240671077,-0.927735891910741,"PUNO",1.182403433,"PUNO",0.0512,0.9488,0.0539629005059022
"2107","PUNO","Puno, provincia: Lampa","LAMPA",4.40462097399682,3.17998122219047,62.1341388741479,37.8658611258521,15.1501544406798,-0.912737327635069,"PUNO",1.436363636,"PUNO",0.0862,0.9138,0.094331363536879
"2108","PUNO","Puno, provincia: Melgar","MELGAR",7.93655371304975,6.28983417447729,59.32516222062,40.67483777938,18.3004085556357,-0.554059647406032,"PUNO",1.195402299,"PUNO",0.0666,0.9334,0.0713520462824084
"2109","PUNO","Puno, provincia: Moho","MOHO",0.946513581629796,0.616073928871465,49.8739848781854,50.1260151218146,17.229534210772,-0.949161755521787,"PUNO",1.254054054,"PUNO",0.0531,0.9469,0.0560777273207308
"2110","PUNO","Puno, provincia: San Antonio de Putina","SAN ANTONIO DE PUTINA",8.04227191121267,4.11294271258365,49.7388607801534,50.2611392198466,20.8054512812143,-0.483186599003011,"PUNO",1.033149171,"PUNO",0.0675,0.9325,0.0723860589812333
"2111","PUNO","Puno, provincia: San Román","SAN ROMAN",50.1049054117321,40.750117043228,63.884794784207,36.115205215793,42.3234092235844,2.85114787289803,"PUNO",1.384230983,"PUNO",0.1645,0.8355,0.196888090963495
"2112","PUNO","Puno, provincia: Sandia","SANDIA",5.11106867799631,3.1793011265992,61.5842403411622,38.4157596588378,15.5687098211444,-0.874874976234012,"PUNO",0.8143712575,"PUNO",0.1053,0.8947,0.117693081479826
